N,Threads,Run,Time_ms
100000,0,1,0.436904
100000,0,2,0.442123
100000,0,3,0.447314
100000,0,4,0.436002
100000,0,5,0.474231
1000000,0,1,4.61262
1000000,0,2,4.4763
1000000,0,3,4.48063
1000000,0,4,4.55091
1000000,0,5,9.16573
10000000,0,1,47.2454
10000000,0,2,47.9334
10000000,0,3,75.5012
10000000,0,4,71.3879
10000000,0,5,66.6418
100000,1,1,1.20873
100000,1,2,4.06164
100000,1,3,7.19552
100000,1,4,1.93015
100000,1,5,4.22668
100000,2,1,3.93112
100000,2,2,4.08223
100000,2,3,1.08121
100000,2,4,3.9263
100000,2,5,0.697006
100000,4,1,0.936157
100000,4,2,4.85607
100000,4,3,3.8279
100000,4,4,3.96804
100000,4,5,4.09345
100000,8,1,5.84418
100000,8,2,3.50634
100000,8,3,6.99193
100000,8,4,1.20695
100000,8,5,3.92616
1000000,1,1,11.371
1000000,1,2,10.8993
1000000,1,3,7.65139
1000000,1,4,12.3647
1000000,1,5,11.0289
1000000,2,1,8.55981
1000000,2,2,9.90923
1000000,2,3,9.63799
1000000,2,4,9.6706
1000000,2,5,9.77736
1000000,4,1,7.78943
1000000,4,2,15.257
1000000,4,3,7.78254
1000000,4,4,12.252
1000000,4,5,15.069
1000000,8,1,6.59489
1000000,8,2,13.6879
1000000,8,3,8.18508
1000000,8,4,9.20838
1000000,8,5,11.9844
10000000,1,1,115.443
10000000,1,2,116.741
10000000,1,3,83.9076
10000000,1,4,93.8321
10000000,1,5,140.221
10000000,2,1,81.0965
10000000,2,2,102.033
10000000,2,3,97.9969
10000000,2,4,82.8694
10000000,2,5,96.887
10000000,4,1,78.5025
10000000,4,2,65.7701
10000000,4,3,88.3141
10000000,4,4,75.4996
10000000,4,5,82.2883
10000000,8,1,62.6852
10000000,8,2,64.0406
10000000,8,3,85.7099
10000000,8,4,87.3307
10000000,8,5,82.5546
